Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean
2950,"""WATER QUALITY OF TRIBUTARY STREAMS- BANAS""","""BANAS- DHANARI DAM- NEAR SWAROOPGANJ- SIROHI""","""RAJASTHAN""",11,30,23.9,3.6,7.1,5.3,7.5,8.3,7.8,200,1280,538,0.7,9.2,2.5,0.01,0.48,0.33,3,7,4,7,NA,NA,NA,NA,NA
2952,"""WATER QUALITY OF TRIBUTARY STREAMS- BANAS""","""BANAS NEAR NEWTA DAM- JAIPUR""","""RAJASTHAN""",20,31,28.4,0.5,6.7,3,7.6,8.4,8,1230,2200,1547,2.3,31,12.5,0.14,0.92,0.52,4,28,8,7,34,34,NA,NA,NA
2951,"""WATER QUALITY OF TRIBUTARY STREAMS- BANAS""","""BANAS- BISULPUR DAM- TONK""","""RAJASTHAN""",21,23,22.1,3.2,8.2,5.9,7.5,8.6,8.3,160,410,290,0.4,4.2,1.9,0.02,0.54,0.19,3,7,4,4,NA,NA,NA,NA,NA
2945,"""WATER QUALITY OF TRIBUTARY STREAMS- CHHAPI""","""CHHAPI- UPSTREAM CHHAPI DAM""","""RAJASTHAN""",21,31,27,4.1,7,5.5,7.3,9,8.2,240,950,461,0.3,2.9,1.4,0,1.14,0.51,3,4,3,4,NA,NA,NA,NA,NA
2946,"""WATER QUALITY OF TRIBUTARY STREAMS- UJAD""","""UJAD UPSTREAM BHIM SAGAR DAM""","""RAJASTHAN""",20,29,26.5,3.7,7.4,5.4,7.4,8.5,8,210,560,349,0.6,3.9,2,0.08,1.14,0.37,3,4,4,4,NA,NA,NA,NA,NA
2382,""" WATER QUALITY OF TRIBUTARY STREAMS- DAMODAR""","""DAMODAR AT PHUSRO ROAD BDG.""","""JHARKHAND""",17,33,25,6.9,7.4,7.3,7.5,7.5,7.5,NA,NA,NA,2.5,7.1,3.4,NA,NA,NA,NA,NA,NA,NA,28,14,NA,NA,NA
2383,""" WATER QUALITY OF TRIBUTARY STREAMS- DAMODAR""","""DAMODAR UPSTREAM JAMADOVA""","""JHARKHAND""",17,43.5,30.2,6.5,7.4,7.1,7.5,7.8,7.5,NA,NA,NA,2.4,2.8,2.6,NA,NA,NA,NA,NA,NA,NA,20,13,NA,NA,NA
2384,""" WATER QUALITY OF TRIBUTARY STREAMS- DAMODAR""","""DAMODAR DOWNSTREAM SINDRI""","""JHARKHAND""",17,43.5,32.9,6.2,7.4,7.1,7.5,8,7.6,NA,NA,NA,2.2,3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2391,""" WATER QUALITY OF TRIBUTARY STREAMS- DAMODAR""","""DAMODAR AT PANCHET DAM""","""JHARKHAND""",22,44,34,6.7,8,7.5,7,7.7,7.3,NA,NA,NA,0.4,1.2,0.8,NA,NA,NA,NA,NA,NA,NA,1600,683,NA,NA,NA
1331,""" WATER QUALITY OF TRIBUTARY STREAMS- DAMODAR""","""DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WB BORDER)""","""WEST BENGAL""",16,34.5,26.2,5.6,9.8,7.8,6.8,8,7.6,116,248,186,1,3.3,1.9,0.05,0.781,0.29,200,17000,2182,1300,NA,NA,NA,NA,NA
1332,""" WATER QUALITY OF TRIBUTARY STREAMS- DAMODAR""","""DAMODAR AT DOWNSTREAM OF IISCO AFTER 3RD OUTFALL AT DHENNA VILLAGE""","""WEST BENGAL""",20,34.5,28.5,7.3,9.8,8.4,6.8,8.8,7.8,163,273,231,0.8,2.6,1.8,0.04,0.5,0.25,200,1100,545,700,21,12,NA,NA,NA
1333,""" WATER QUALITY OF TRIBUTARY STREAMS- DAMODAR""","""DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH""","""WEST BENGAL""",18,34.5,27.9,7,9.8,8.3,7.2,8.6,7.9,205,309,271,1,3.4,2.1,0.03,0.53,0.29,200,1700,1036,700,2400,278,NA,NA,NA
1334,""" WATER QUALITY OF TRIBUTARY STREAMS- DAMODAR""","""DAMODAR NEAR MUJHER MANAVILLAGE A/C TAMLA NALLAH""","""WEST BENGAL""",20,36,29.5,3.4,8,6.3,6.7,9.3,8,183,671,457,2.7,6.5,3.9,0.52,3.02,1.97,1300,24000,6409,14000,75,19,NA,NA,NA
1335,""" WATER QUALITY OF TRIBUTARY STREAMS- DAMODAR""","""DAMODAR AT HALDIA DOWNSTREAM (2 KMAWAY FROM HALDIA TOWN)""","""WEST BENGAL""",19,32,27.8,3.6,8.3,6.2,6.9,8.1,7.6,453,17900,7398,1,7.8,2.4,0.05,0.61,0.32,35000,1750000,361250,45000,210,26,NA,NA,NA
2527,""" WATER QUALITY OF TRIBUTARY STREAMS- DAMODAR""","""WATER INTAKE PT BURDWAN TOWN""","""WEST BENGAL""",18,32,26.8,5.2,9.2,7.6,6.9,8.2,7.7,184,338,276,1.3,4,3,0.14,1.35,0.63,400,2200,1320,1700,210,28,NA,NA,NA
2392,""" WATER QUALITY OF TRIBUTARY STREAMS- BARAKAR""","""BARAKAR AT MAITHAN DAM""","""WEST BENGAL""",22,44,34.3,7.1,8,7.5,7.4,7.5,7.5,NA,NA,NA,1,1.5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1336,""" WATER QUALITY OF TRIBUTARY STREAMS- BARAKAR""","""BARAKAR AT ASANSOL (WATER INTAKE PT)""","""WEST BENGAL""",16,34,27.9,5,9.4,8.1,7.1,8.7,7.8,158,396,210,1.4,3.9,2.2,0.051,2.53,0.5,1300,30000,12282,1700,NA,NA,NA,NA,NA
2390,""" WATER QUALITY OF TRIBUTARY STREAMS- KONAR""","""KONAR AT TENUGHAT DAM""","""JHARKHAND""",26,45,34.3,7.5,8,7.8,7.2,7.5,7.4,NA,NA,NA,0.5,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2509,""" WATER QUALITY OF TRIBUTARY STREAMS- RUPNARAYAN""","""DOWNSTREAM OF RUPNARAYAN AT KOLAGHAT- NEAR KOLAGHAT RAIL BRIDGE NO.3""","""WEST BENGAL""",20,34,27.6,2.6,10.1,6.5,7.1,8.2,7.7,191,2870,901,0.9,4.3,2,0.11,0.66,0.31,4000,170000,44909,7000,NA,NA,NA,NA,NA
1337,""" WATER QUALITY OF TRIBUTARY STREAMS- RUPNARAYAN""","""RUPNARAYAN B/C R. GANGA NRGEONKHALI""","""WEST BENGAL""",19.5,33,28,4.7,8.2,6.4,7.2,8.5,7.8,243,4690,1496,0.7,2.2,1.2,0.16,0.67,0.38,7000,220000,55750,9000,50000,9118,NA,NA,NA
2541,""" WATER QUALITY OF TRIBUTARY STREAMS- DWARAKESHWAR""","""WATER INTAKE POINT - BANKURA TOWN ON R. DWARAKESHWAR""","""WEST BENGAL""",19,35,27.5,6.9,9.6,8,7,8.8,7.6,172,411,283,1,4.6,2.6,0.03,0.61,0.29,200,2100,860,400,28000,5445,NA,NA,NA
2531,""" WATER QUALITY OF TRIBUTARY STREAMS- DWARKA""","""UPSTREAM OF TARAPITH ON RIVERDWARKA AT SADHAK BAMDEB GHAT""","""WEST BENGAL""",20,34,27.7,0.3,8.3,5.7,6.8,8.8,7.5,94,960,465,1.9,12.2,5.3,0.11,3.36,1.35,8000,500000,80400,24000,50000,13146,NA,NA,NA
2532,""" WATER QUALITY OF TRIBUTARY STREAMS- DWARKA""","""DOWNSTREAM OF TARAPITH ON DWARKA- SATIGHAT""","""WEST BENGAL""",21,34.5,28,1.9,8.1,5.6,6.7,8.8,7.5,90,982,523,2.1,9,4.2,0.19,2.78,0.97,1300,90000,15940,8000,160000,53000,NA,NA,NA
2508,""" WATER QUALITY OF TRIBUTARY STREAMS- SILABATI""","""DOWNSTREAM OF SILABATI AT GHATAL-""","""WEST BENGAL""",20,34,27.9,5,8.9,7.1,7.3,8.2,7.7,124,560,257,1.5,3.1,2.3,0.06,1.4,0.3,7000,350000,72818,17000,8000000,1578750,NA,NA,NA
2514,""" WATER QUALITY OF TRIBUTARY STREAMS- JALANGI""","""JALANGI- DOWNSTREAM OF KRISHNA NAGAR""","""WEST BENGAL""",19,34,28.2,4.6,10,7.9,7,8.3,7.7,215,559,378,1,28,4.4,0.07,1.13,0.45,1300,50000,20118,3000,13000,7070,NA,NA,NA
1764,""" WATER QUALITY OF TRIBUTARY STREAMS- CHURNI""","""CHURNI DOWNSTREAM OF SANTIPUR TOWN""","""WEST BENGAL""",19,34,28.8,3.7,7.1,4.8,7.1,8.1,7.6,206,647,450,1.5,3.4,2.4,0.06,0.83,0.41,8000,110000,32917,13000,NA,NA,NA,NA,NA
2518,""" WATER QUALITY OF TRIBUTARY STREAMS- CHURNI""","""CHURNI- MAJHADIA""","""WEST BENGAL""",20,33,28.5,0,5.5,2.3,6.4,7.8,7.3,204,697,529,1,64,14.5,0.09,1,0.41,11000,2400000,685909,30000,160000,62973,NA,NA,NA
2517,""" WATER QUALITY OF TRIBUTARY STREAMS- MATHA BHANGA""","""MATHA BHANGA- GOBINDAPUR""","""WEST BENGAL""",20,33,28.4,0,5.5,1.9,6.6,7.8,7.2,208,661,514,1.5,90,16.1,0.1,1.3,0.48,30000,5000000,1471818,50000,NA,NA,NA,NA,NA
2534,""" WATER QUALITY OF TRIBUTARY STREAMS- MAYURAKSHI""","""WATER INTAKE POINT FOR SURITOWN ON R. MAYURAKSHI""","""WEST BENGAL""",17.5,32.5,26.7,4.9,9,7.6,7.2,8.5,7.8,102,404,159,1.1,3.8,2.2,0.04,0.53,0.18,2,8000,1442,4,1600000,218455,NA,NA,NA
2507,""" WATER QUALITY OF TRIBUTARY STREAMS- KANSI""","""DOWNSTREAM OF KANSI AT MIDNAPORE- NEAR NEW HANUMAN MANDIR""","""WEST BENGAL""",19,36,27.6,5.8,11,8.3,6.5,8.2,7.6,115,232,202,1.1,6.1,2.7,0.04,0.58,0.17,4000,140000,44273,9000,900000,200917,NA,NA,NA
1946,""" WATER QUALITY OF TRIBUTARY STREAMS- MAHANANDA""","""MAHANANDA AT SILIGURI""","""WEST BENGAL""",20,31,25.7,6.1,8,7.2,6.5,7.3,7,119,179,148,1.2,6.6,3.3,0.05,0.6,0.33,14000,210000,99818,22000,24000,6840,NA,NA,NA
2525,""" WATER QUALITY OF TRIBUTARY STREAMS- MAHANANDA""","""MAHANANDA DOWNSTREAM- RAMGHAT""","""WEST BENGAL""",18,28,22.3,7.2,9.6,8.1,7.1,7.6,7.3,65,140,88,0.8,4.4,2,0.05,0.5,0.27,8000,390000,162818,14000,900000,241400,NA,NA,NA
2572,""" WATER QUALITY OF TRIBUTARY STREAMS- MAHANANDA""","""MAHANANDA AT THAKURGANJ-KISHANGANJ ROAD BRIDGE""","""BIHAR""",23,27,25.7,6.8,8.2,7.3,7.6,7.8,7.7,345,430,384,2.4,2.8,2.7,NA,NA,NA,700,2200,1533,1400,160000,44700,NA,NA,NA
2549,""" WATER QUALITY OF TRIBUTARY STREAMS- VINDYADHARI""","""UPSTREAM OF VINDYADHARI AT HAROABDG""","""WEST BENGAL""",19,31,25.7,0.4,4.8,1.6,7.1,8.4,7.7,510,13010,4428,1,26.8,10.2,0.02,0.41,0.17,14000,220000,90364,27000,1600000,332818,NA,NA,NA
2550,""" WATER QUALITY OF TRIBUTARY STREAMS- VINDYADHARI""","""DOWNSTREAM OF VINDYADHARI AT MALANCHABURNING GHAT""","""WEST BENGAL""",17,29,25,0.7,5.8,2.7,7.4,8.1,7.7,1468,29900,11409,0.2,13,4.2,0.04,1.71,0.64,4000,170000,42727,14000,90000,32727,NA,NA,NA
2381,""" WATER QUALITY OF TRIBUTARY STREAMS- BOKARO""","""BOKARO AT JARANDI""","""JHARKHAND""",NA,NA,NA,6.6,6.8,6.7,6.5,6.5,6.5,NA,NA,NA,2.1,3,2.6,NA,NA,NA,NA,NA,NA,NA,170000,49000,NA,NA,NA
2396,""" WATER QUALITY OF TRIBUTARY STREAMS- JUMAR""","""JUMAR AT KANKE DAM""","""JHARKHAND""",17,26.5,22.7,5.2,8.1,6.4,6.6,7.9,7,NA,NA,NA,3,5,3.8,NA,NA,NA,110,150,130,750,3000000,986364,NA,NA,NA
1260,""" WATER QUALITY OF RIVER BRAHMAPUTRA""","""BRAHMAPUTRA AT KHERGHAT (A/ C DIBANG & DIHANG)""","""ASSAM""",18,28,23.3,6.8,9,7.9,7,7.6,7.3,91,175,128,0.3,9.2,2.6,0.1,0.21,0.13,0,360,180,300,9000000,2584545,NA,NA,NA
1030,""" WATER QUALITY OF RIVER BRAHMAPUTRA""","""BRAHMAPUTRA AT DIBRUGARH""","""ASSAM""",18,28,23.2,6.2,8.8,8.4,6.7,7.7,7.3,94,197,148,0.5,3.8,2.1,0.1,0.3,0.14,0,360,142,300,24000,4329,NA,NA,NA
1262,""" WATER QUALITY OF RIVER BRAHMAPUTRA""","""BRAHMAPUTRA AT NIMATIGHAT""","""ASSAM""",17,28,23.8,4.4,7.5,6.4,6.1,7.6,7.1,71,205,151,0.3,3,1.5,0.1,0.2,0.12,0,700,124,1,1600000,311455,NA,NA,NA
1526,""" WATER QUALITY OF RIVER BRAHMAPUTRA""","""BRAHMPUTRA AT DHENUKHAPAHAR""","""ASSAM""",19,29,24.3,7.1,8.9,7.7,6.8,8.5,7.5,112,210,152,0.8,4.1,2.1,0.1,0.3,0.16,0,1100,160,0,390000,179273,NA,NA,NA
1031,""" WATER QUALITY OF RIVER BRAHMAPUTRA""","""BRAHMAPUTRA AT PANDU""","""ASSAM""",18,30.5,25.4,6.4,8.8,7.3,6.9,7.9,7.3,108,238,159,0.5,2.7,1.5,0.1,0.3,0.15,0,1100,386,300,1700000,585000,NA,NA,NA
1299,""" WATER QUALITY OF RIVER BRAHMAPUTRA""","""BRAHMAPUTRA AT JOGIJHOGA""","""ASSAM""",18,32,26.8,5.7,8.2,7,6.6,7.6,7.2,68,68,194,1,4.1,2.3,0.1,0.3,0.13,0,730,154,300,5000,3133,NA,NA,NA
2069,""" WATER QUALITY OF RIVER BRAHMAPUTRA""","""BRAHMPUTRA NEAR WATER INTAKEPT AT KACHARIGHAT- PANBAZAR""","""ASSAM""",19,30,25.3,5.9,8.4,7,7.2,7.9,7.5,124,206,156,0.7,3.8,1.7,0.1,0.17,0.12,0,360,220,360,280000,167545,NA,NA,NA
2064,""" WATER QUALITY OF RIVER BRAHMAPUTRA""","""BRAHMAPUTRA AT CHANDRAPUR""","""ASSAM""",19,31,26.4,6,9,7.4,7.1,7.8,7.4,115,202,153,0.4,3.4,1.9,0.1,0.17,0.12,0,300,200,0,220000,73182,NA,NA,NA
2067,""" WATER QUALITY OF RIVER BRAHMAPUTRA""","""BRAHMPUTRA AT SUALKUCHI""","""ASSAM""",20,29,26,6.5,8.6,7.8,7,7.8,7.3,133,209,169,0.8,1.6,1.1,0.1,0.3,0.16,0,1500,600,300,NA,NA,NA,NA,NA
2066,""" WATER QUALITY OF RIVER BRAHMAPUTRA""","""BRAHMAPUTRA AT DHUBRI""","""ASSAM""",21,32,27.4,6.5,7.2,6.9,6.7,7.8,7.2,113,188,147,1.1,2,1.6,0.1,0.1,0.1,0,300,200,300,750,750,NA,NA,NA
1796,""" WATER QUALITY OF RIVER DHANSIRI ""","""FULL NAGARJAN""","""NAGALAND""",17,30,25,2,6.2,4.3,7.6,8.3,7.9,169,169,258,0.4,1.2,0.6,NA,NA,NA,NA,NA,NA,NA,2800,1149,NA,NA,NA
1799,""" WATER QUALITY OF RIVER DHANSIRI ""","""TOWN BOUNDARY BDGE(DIPHU RD)""","""NAGALAND""",15,27,23,2.6,6,4,7.7,7.9,7.8,168,231,199,0.4,5.6,1.8,NA,NA,NA,NA,NA,NA,NA,9300,1561,NA,NA,NA
1797,""" WATER QUALITY OF RIVER DHANSIRI ""","""BRIDGE NEAR PURANA BAZAAR""","""NAGALAND""",18,29,25.3,3.2,7.6,5.1,7.6,7.9,7.7,168,408,271,0.4,1.6,0.8,NA,NA,NA,NA,NA,NA,NA,3500,780,NA,NA,NA
1800,""" WATER QUALITY OF RIVER DHANSIRI ""","""NUTON BASTI""","""NAGALAND""",22,29,25.3,0.2,3,1.1,7.2,7.5,7.4,160,450,287,2,6.8,3.4,NA,NA,NA,NA,NA,NA,NA,2900,982,NA,NA,NA
1798,""" WATER QUALITY OF RIVER DHANSIRI ""","""NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD)""","""NAGALAND""",16,30,25,2.8,7,4.7,7.7,7.8,7.8,168,411,273,0.8,2.4,1.3,NA,NA,NA,NA,NA,NA,NA,3500,1545,NA,NA,NA
1259,""" WATER QUALITY OF RIVER DHANSIRI ""","""DHANSIRI AT GOLAGHAT""","""ASSAM""",20,32,28.5,5.8,7.3,6.6,6.8,7.3,7.1,113,206,173,0.5,3,1.6,NA,NA,NA,NA,NA,NA,NA,15000,2225,NA,NA,NA
1928,""" WATER QUALITY OF RIVER DHANSIRI ""","""DHANSIRI AT NAGALAND-ASSAMBORDER- DIMAPUR""","""NAGALAND""",17,30,24,1,5,3,7.3,7.6,7.5,176,454,295,0.4,3.6,1.6,NA,NA,NA,NA,NA,NA,NA,1500,740,NA,NA,NA
1930,"""WATER QUALITY OF TRIBUTARY STREAMS OF DHANSIRI-DZU""","""DZU DOWNSTREAM KOHIMA TOWN""","""NAGALAND""",15,25,20.5,3,6,4.5,7.7,8.4,8,251,616,420,0.8,1.2,0.9,NA,NA,NA,NA,NA,NA,NA,730,363,NA,NA,NA
1929,"""WATER QUALITY OF TRIBUTARY STREAMS OF DHANSIRI-DZU""","""CHATHE AT MEDZIPHEMA- DIMAPUR""","""NAGALAND""",21,30,26.3,3.6,5,4.2,7.5,8.1,7.8,84,338,172,0.4,1.6,0.8,NA,NA,NA,NA,NA,NA,NA,4300,1837,NA,NA,NA
1261,"""WATER QUALITY OF TRIBUTARY STREAMS- SUBANSIRI""","""SUBANSIRI ATGEREKAMUKH-ASSAM-(B/C BRAH.)""","""ASSAM""",16,23,20.8,8.8,9.1,8.9,6.5,7.6,7,64,145,104,1.1,2.6,1.7,0.1,0.14,0.11,NA,NA,NA,0,1500,720,NA,NA,NA
2061,"""WATER QUALITY OF TRIBUTARY STREAMS- KHARSANG""","""KHARSANG B/C BURIDIHING NEARKHARSANG""","""ASSAM""",18,26,22,5.8,8.1,7.1,6.5,7.5,7,97,251,182,0.8,3.4,1.8,0.1,0.17,0.13,0,360,90,0,NA,NA,NA,NA,NA
1422,"""WATER QUALITY OF TRIBUTARY STREAMS- BURHIDIHING""","""BURHIDIHING AT MARGHERITA""","""ASSAM""",18,26,22.3,4.5,7.4,5.8,6.3,7.4,7,70,258,188,0.9,5.6,2.7,0.1,0.19,0.12,NA,NA,NA,1,NA,NA,NA,NA,NA
2062,"""WATER QUALITY OF TRIBUTARY STREAMS- BURIDIHING""","""BURIDIHING NR DULIAJAN AT DOWNSTREAM-""","""ASSAM""",19,30,24,4.1,7,5.7,5.9,7.6,6.6,114,162,129,0.3,3.5,2.1,0.1,0.18,0.13,0,300,100,1,NA,NA,NA,NA,NA
2230,"""WATER QUALITY OF TRIBUTARY STREAMS- BURHIDIHING""","""BURHIDIHING AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.)""","""ASSAM""",19,30,24,5.5,7.2,6.1,5.6,7.6,6.6,108,161,129,1.1,9.8,4.6,0.1,0.22,0.16,0,300,200,300,NA,NA,NA,NA,NA
2065,"""WATER QUALITY OF TRIBUTARY STREAMS- PAGLDIA""","""PAGLDIA NALBARI TOWN- NALBARI""","""ASSAM""",20,30,26.3,6,8,6.9,7.7,8.1,7.9,207,264,242,0.8,2,1.2,0.1,0.14,0.12,0,360,120,0,NA,NA,NA,NA,NA
1530,"""WATER QUALITY OF TRIBUTARY STREAMS- DIGBOI""","""DIGBOI AT LAKHIPATHE-RES. FOREST""","""ASSAM""",18,27,23.5,5,6.3,6,6.6,6.8,6.7,98,185,141,1.3,7,3.6,0.1,0.12,0.11,NA,NA,NA,0,NA,NA,NA,NA,NA
2063,"""WATER QUALITY OF TRIBUTARY STREAMS- JAI BHARALI""","""JAI BHARALI NEAR BISWANATHCHARALI- SONITPUR""","""ASSAM""",21,27,24,8.7,9,8.9,6.9,7.5,7.3,68,126,94,0.3,0.3,1.3,0.1,0.1,0.1,0,360,120,0,NA,NA,NA,NA,NA
2237,"""WATER QUALITY OF TRIBUTARY STREAMS- KALONG""","""KALONG AT UPSTREAM OF ANANDARAM DEKIAL PHUKAN BRIDGE- NAGAON""","""ASSAM""",28,31,29.3,5.2,10.3,7.6,6.5,6.8,6.7,82,244,142,1.9,3.7,3,0.1,0.14,0.11,300,360,330,730,NA,NA,NA,NA,NA
2059,"""WATER QUALITY OF TRIBUTARY STREAMS- KOLONG""","""KOLONG AT MARIGAON""","""ASSAM""",19,33,27.7,5.7,8.5,7.1,7,8,7.6,72,188,111,0.7,2.4,1.6,0.1,0.14,0.11,0,700,233,0,NA,NA,NA,NA,NA
2060,"""WATER QUALITY OF TRIBUTARY STREAMS- MANAS""","""MANAS AT NH-31 CROSSING- BARPETA- DISTRICT""","""ASSAM""",20,32,25.3,5.9,7.3,6.9,6.6,8,7.2,134,446,293,0.9,3.8,2.2,0.1,0.19,0.13,0,360,90,0,360,91,NA,NA,NA
2058,"""WATER QUALITY OF TRIBUTARY STREAMS- DISANG""","""DISANG AT DILLIGHAT- DIBRUGARH ""","""ASSAM""",16,26,22,4.5,7.1,5.8,6.5,8.6,7.3,67,307,178,1.5,6.3,2.9,0.1,0.16,0.16,0,360,120,300,2000,501,NA,NA,NA
1298,"""WATER QUALITY OF TRIBUTARY STREAMS- DISANG""","""DISANG AT GUNDAMGHAT ""","""ASSAM""",18,26,22.5,3.5,5.4,4.7,6.4,7.1,6.8,57,57,57,1,2.6,1.7,0.1,0.15,0.13,NA,NA,NA,300,910,607,NA,NA,NA
1258,"""WATER QUALITY OF TRIBUTARY STREAMS- JHANJI""","""JHANJI AT N.H. CROSSING JORHAT ""","""ASSAM""",19,27,23.5,5.4,6.7,6.4,6.5,7.6,7.1,65,134,106,1.2,3.2,2.3,0.12,0.17,0.15,NA,NA,NA,110,2000,767,NA,NA,NA
1527,"""WATER QUALITY OF TRIBUTARY STREAMS- BHOGDOI""","""BHOGDOI AT JORHAT ""","""ASSAM""",19,27,24.5,5.4,7.3,6.1,6.4,7.6,7.1,75,157,127,0.7,3.6,2.3,0.1,0.16,0.12,0,910,547,300,2000,1070,NA,NA,NA
1531,"""WATER QUALITY OF TRIBUTARY STREAMS- MORA BHARALI""","""MORA BHARALI AT TEZPUR ""","""ASSAM""",21,27,24.8,6.6,7.1,6.9,7,8.5,7.9,134,255,189,0.8,4.5,2.4,0.1,0.15,0.12,0,300,100,300,730,244,NA,NA,NA
1423,"""WATER QUALITY OF TRIBUTARY STREAMS- BORAK""","""BORAK AT PANCHAGRAM ""","""ASSAM""",15,16,15.7,7,7.3,7.2,6.8,7.5,7.2,85,156,127,0.8,3.7,2,0.1,0.12,0.11,0,300,200,300,360,120,NA,NA,NA
1528,"""WATER QUALITY OF TRIBUTARY STREAMS- BHARALU""","""BHARALU AT GUWAHATI ""","""ASSAM""",20,31,27.3,0,0,0,6.8,7.2,7.1,690,768,739,32,50,41.5,0.19,0.38,0.27,0,2000,970,1100,2300,767,NA,NA,NA
1529,"""WATER QUALITY OF TRIBUTARY STREAMS- DEEPAR BEEL""","""DEEPAR BEEL""","""ASSAM""",21,31.5,28.1,2.3,7.1,5.5,7.2,7.4,7.3,172,404,249,2,6.4,4.6,0.11,0.26,0.2,0,300,100,0,2300,1515,NA,NA,NA
2068,"""WATER QUALITY OF TRIBUTARY STREAMS- KATHAKAL""","""UPSTREAM OF KATHAKAL -MATIJURI ""","""ASSAM""",8.5,16,12.8,7.1,7.3,7.2,6.9,7.6,7.2,92,176,139,1.2,4,2.6,0.1,0.15,0.11,0,910,423,300,730,487,NA,NA,NA
1801,"""WATER QUALITY OF TRIBUTARY STREAMS- TEESTA""","""TEESTA A/C RIVERS LACHENCHU AND LACHUNGCHU AT CHUNGTHAANG""","""SIKKIM""",NA,NA,NA,20,26,23.1,5.9,7,6.5,250,280,268,2.3,3.4,2.6,2.2,2.5,2.31,23,50,28,10,1400,530,NA,NA,NA
1807,"""WATER QUALITY OF TRIBUTARY STREAMS- TEESTA""","""TEESTA A/C RANICHU AT SINGTAM""","""SIKKIM""",NA,NA,NA,16,28,20.2,5.5,7,6.3,260,320,293,3.3,4.4,3.9,2.2,3.2,2.7,50,700,123,130,1500,1067,NA,NA,NA
1808,"""WATER QUALITY OF TRIBUTARY STREAMS- TEESTA""","""TEESTA A/C RANGICHU AFTERMEETING THE INDL EFFLUENTS FROM THE TOWN RANICHU""","""SIKKIM""",NA,NA,NA,14,24,19.3,6,6.5,6.1,260,300,283,4,4.5,4.3,2,3.2,2.7,40,170,80,110,910,560,NA,NA,NA
1809,"""WATER QUALITY OF TRIBUTARY STREAMS- TEESTA""","""TEESTA AT MELLI DOWNSTREAM""","""SIKKIM""",NA,NA,NA,14,14,18.6,6,6.5,6.2,270,310,288,3.5,3.5,4.3,2.1,3.8,2.8,60,170,101,140,730,400,NA,NA,NA
1947,"""WATER QUALITY OF TRIBUTARY STREAMS- TEESTA""","""TEESTA AT SILIGURI""","""WEST BENGAL""",14,24,19.1,8,10,8.6,7,7.9,7.3,108,114,111,0.3,6.2,2.9,0.05,0.45,0.25,11000,225000,77333,17000,15000,6033,NA,NA,NA
1802,"""WATER QUALITY OF TRIBUTARY STREAMS- DIKCHU""","""DIKCHU B/C RIVER TEESTA NEARNHPC HYDROELECTRIC POWER PROJECT- SIKKIM""","""SIKKIM""",NA,NA,NA,20,28,22.9,6,6.8,6.4,270,280,278,2,3.4,2.4,2,2.5,2.3,22,60,27,40,1500,967,NA,NA,NA
1803,"""WATER QUALITY OF TRIBUTARY STREAMS- MANEY KHOLA""","""MANEY KHOLA AT BURTUK NEARARMY BASE CAMP- 4 KM UPSTREAM OF GANGTOK- SIKKIM""","""SIKKIM""",NA,NA,NA,18,30,22.4,6,7,6.5,260,320,293,2.3,4.2,3.2,2,3.1,2.32,23,80,35,50,910,637,NA,NA,NA
1804,"""WATER QUALITY OF TRIBUTARY STREAMS- MANEY KHOLA""","""MANEY KHOLA A/C RAY KHOLA ATADAMPOOL AFTER MEETING WASTE OF STP- GANGTOK""","""SIKKIM""",NA,NA,NA,18,23.1,23.1,6,6.8,6.2,230,280,256,2.4,3.8,3.3,2,2.5,2.37,26,70,37,60,15000,8467,NA,NA,NA
