Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean
2618,"""WATER QUALITY OF TRIBUTARY STREAMS- PABBAR""","""PABBAR AT UPSTREAM ROHRU""","""HIMACHAL PRADESH""",5.4,16,11.9,4,9.8,8.8,6.8,8.2,7.5,45,127,65,0.1,1.5,0.4,0,0.75,0.19,28,28,28,8,24000,11333,NA,NA,NA
2619,"""WATER QUALITY OF TRIBUTARY STREAMS- PABBAR""","""PABBAR AT DOWNSTREAM SWARAKUDDU""","""HIMACHAL PRADESH""",6.5,18,11.3,8.8,9.9,9.4,6.3,8.3,7.5,47,96,68,0.1,2,0.5,0,0.42,0.12,4,4,4,4,24000,21333,NA,NA,NA
1477,"""WATER QUALITY OF TRIBUTARY STREAMS- KALINADI(W)""","""KALINADI AT UPSTREAM MUZAFFAR NAGAR""","""UTTAR PRADESH""",NA,NA,NA,NA,NA,NA,7.7,8,7.9,320,546,461,1,4,2.7,0,6.38,2.44,4000,15000,9500,43000,52,22,NA,NA,NA
1478,"""WATER QUALITY OF TRIBUTARY STREAMS- KALINADI(W)""","""KALINADI AT DOWNSTREAM MUZAFFAR NAGAR""","""UTTAR PRADESH""",NA,NA,NA,NA,NA,NA,7.5,8,7.7,912,1477,1253,65,369,222,0.6,5.3,2.24,43000000,110000000,77000000,240000000,156,51,NA,NA,NA
1483,"""WATER QUALITY OF TRIBUTARY STREAMS- HINDON""","""HINDON A/C WITH R. KRISHNA &KALI NEAR BINAULI TOWN- MEERUT""","""UTTAR PRADESH""",NA,NA,NA,NA,NA,NA,7.6,8,7.8,252,545,392,14,43,24.3,0.8,3.6,1.74,2300000,43000000,23000000,9000000,31,17,NA,NA,NA
2496,"""WATER QUALITY OF TRIBUTARY STREAMS- HINDON""","""HINDON AT SARDHANA BUDHANAROAD- VILLAGE BAPARSI- MEERUT""","""UTTAR PRADESH""",10,28,20.4,NA,NA,NA,7,7.4,7.3,680,810,738,35,50,43.5,0,8.8,4.53,135000,250000,170000,150000,34,17,NA,NA,NA
1358,"""WATER QUALITY OF TRIBUTARY STREAMS- HINDON""","""HINDON AT GHAZIABAD DOWNSTREAM""","""UTTAR PRADESH""",14,26,19.8,0,3.5,1.5,7,7.6,7.2,339,1221,568,8,45,16.4,0,1.09,0.65,40000,190000,119364,110000,180,63,NA,NA,NA
2107,"""WATER QUALITY OF TRIBUTARY STREAMS- BETWA""","""BETWA UPSTREAM- BEENA""","""MADHYA PRADESH""",18,31,25.8,7.6,8.1,7.8,7.4,8.4,7.9,360,360,360,1,1.9,1.4,NA,NA,NA,NA,NA,NA,6,18,12,NA,NA,NA
2108,"""WATER QUALITY OF TRIBUTARY STREAMS- BETWA""","""BETWA DOWNSTREAM- BEENA""","""MADHYA PRADESH""",17,32,26,7.7,7.9,7.8,7.5,8.6,8,445,445,445,1.2,1.9,1.6,NA,NA,NA,NA,NA,NA,7,18,13,NA,NA,NA
2119,"""WATER QUALITY OF TRIBUTARY STREAMS- BETWA""","""BETWA AT NAYAPUR DOWNSTREAM MANDIDEEP INDL. AREA NO.1-RAISEN""","""MADHYA PRADESH""",NA,NA,NA,NA,NA,NA,6.9,8.8,7.6,670,1134,902,2,104,37.7,0,10.57,4.26,11,1600,806,350,48,15,NA,NA,NA
